Sample_ID,Year,Venue,Stratum,Stratum_Population_Size,Stratum_Sample_Size,Inclusion_Probability,Weight,Sampled_Keyword,All_Keywords_Matched,Total_Matches_In_Paper,File_Path,Label,Notes,Reviewer
S0017,2023,iclr,2023-iclr,43,10,0.23255813953488372,4.3,textdavinci001,"textdavinci001, textdavinciedit001",4,iclr_2023/ICLR_2023_N,,,
S0018,2023,iclr,2023-iclr,43,10,0.23255813953488372,4.3,codedavinci002,codedavinci002,2,iclr_2023/ICLR_2023_gJW8hSGBys8,,,
S0019,2023,iclr,2023-iclr,43,10,0.23255813953488372,4.3,codedavinci002,"codedavinci002, codedavinci001, codecushman001",10,iclr_2023/ICLR_2023_iaYcJKpY2B,,,
S0020,2023,iclr,2023-iclr,43,10,0.23255813953488372,4.3,dalle2,dalle2,1,iclr_2023/ICLR_2023_nJfylDvgzlq,,,
S0021,2023,iclr,2023-iclr,43,10,0.23255813953488372,4.3,dalle2,dalle2,1,iclr_2023/ICLR_2023_nUmCcZ5RKF,,,
S0022,2023,icml,2023-icml,28,10,0.35714285714285715,2.8,dalle2,dalle2,1,icml_2023/ICML_2023_Are,,,
S0023,2023,icml,2023-icml,28,10,0.35714285714285715,2.8,gpt4,gpt4,3,icml_2023/ICML_2023_Can,,,
S0024,2023,icml,2023-icml,28,10,0.35714285714285715,2.8,gpt35turbo,gpt35turbo,1,icml_2023/ICML_2023_Conditional,,,
S0025,2023,icml,2023-icml,28,10,0.35714285714285715,2.8,codedavinci002,codedavinci002,1,icml_2023/ICML_2023_Do,,,
S0026,2023,icml,2023-icml,28,10,0.35714285714285715,2.8,gpt35turbo,"gpt35turbo, gpt4",38,icml_2023/ICML_2023_Do,,,
S0027,2023,icml,2023-icml,28,10,0.35714285714285715,2.8,textdavinci002,"davinci002, textdavinci002",2,icml_2023/ICML_2023_Multi,,,
S0028,2023,icml,2023-icml,28,10,0.35714285714285715,2.8,dalle2,dalle2,3,icml_2023/ICML_2023_Muse,,,
S0029,2023,icml,2023-icml,28,10,0.35714285714285715,2.8,textdavinci002,"textdavinci002, codecushman001",4,icml_2023/ICML_2023_Pretraining,,,
S0030,2023,icml,2023-icml,28,10,0.35714285714285715,2.8,codedavinci002,"textdavinci002, codedavinci002",16,icml_2023/ICML_2023_Specializing,,,
S0031,2023,icml,2023-icml,28,10,0.35714285714285715,2.8,dalle2,dalle2,2,icml_2023/ICML_2023_simple,,,
S0032,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,"gpt35turbo, gpt4, textembeddingada002",55,neurips_2023/NeurIPS_2023_0ff30c4bf31db0119a6219e0d250e037,,,
S0033,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,gpt4,1,neurips_2023/NeurIPS_2023_108030643e640ac050e0ed5e6aace48f,,,
S0034,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt35turbo,gpt35turbo,10,neurips_2023/NeurIPS_2023_13250eb13871b3c2c0a0667b54bad165,,,
S0035,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,gpt4,10,neurips_2023/NeurIPS_2023_1456560769bbc38e4f8c5055048ea712,,,
S0036,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,gpt4,1,neurips_2023/NeurIPS_2023_1b3750390ca8b931fb9ca988647940cb,,,
S0037,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt35turbo,"gpt35turbo, gpt4",13,neurips_2023/NeurIPS_2023_1b44b878bb782e6954cd888628510e90,,,
S0038,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt35turbo,"gpt35turbo, gpt4",40,neurips_2023/NeurIPS_2023_1feb87871436031bdc0f2beaa62a049b,,,
S0039,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,dalle2,dalle2,1,neurips_2023/NeurIPS_2023_2468f84a13ff8bb6767a67518fb596eb,,,
S0040,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt35turbo,gpt35turbo,1,neurips_2023/NeurIPS_2023_30699996ff411d48903c9752b782a5c1,,,
S0041,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt35turbo,gpt35turbo,1,neurips_2023/NeurIPS_2023_3255a7554605a88800f4e120b3a929e1,,,
S0042,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,"gpt35turbo, gpt4",2,neurips_2023/NeurIPS_2023_34e278fbbd7d6d7d788c98065988e1a9,,,
S0043,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,gpt4,2,neurips_2023/NeurIPS_2023_359ddb9caccb4c54cc915dceeacf4892,,,
S0044,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt35turbo,gpt35turbo,2,neurips_2023/NeurIPS_2023_49d1cf22327c51331cbd52bcb76a09a6,,,
S0045,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,gpt4,4,neurips_2023/NeurIPS_2023_5af741d487c5f0b08bfe56e11d1883e4,,,
S0046,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,gpt4,1,neurips_2023/NeurIPS_2023_73bf692447f174984f30499ec9b20e04,,,
S0047,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt35turbo,"codedavinci002, gpt35turbo, gpt4",25,neurips_2023/NeurIPS_2023_81fde95c4dc79188a69ce5b24d63010b,,,
S0048,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,gpt4,1,neurips_2023/NeurIPS_2023_862f45ccecb2275851bc8acebb8b4d65,,,
S0049,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,gpt4,18,neurips_2023/NeurIPS_2023_8c2df4c35cdbee764ebb9e9d0acd5197,,,
S0050,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,textembeddingada002,"gpt4, textembeddingada002",2,neurips_2023/NeurIPS_2023_9f94298bac4668db4dc77ddb0a244301,,,
S0051,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt35turbo,"gpt35turbo, gpt4",24,neurips_2023/NeurIPS_2023_a3621ee907def47c1b952ade25c67698,,,
S0052,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,textembeddingada002,textembeddingada002,1,neurips_2023/NeurIPS_2023_a526cc8f6ffb74bedb6ff313e3fdb450,,,
S0053,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,gpt4,25,neurips_2023/NeurIPS_2023_a85b405ed65c6477a4fe8302b5e06ce7,,,
S0054,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,gpt4,1,neurips_2023/NeurIPS_2023_b2e63e36c57e153b9015fece2352a9f9,,,
S0055,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,gpt4,2,neurips_2023/NeurIPS_2023_b316495425d076b4abffc065a64c2cca,,,
S0056,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,dalle2,dalle2,2,neurips_2023/NeurIPS_2023_b6c05f8254a00709e16fb0fdaae56cd8,,,
S0057,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,gpt4,1,neurips_2023/NeurIPS_2023_b8c90b65739ae8417e61eadb521f63d5,,,
S0058,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,gpt4,1,neurips_2023/NeurIPS_2023_b914a8fcea5c176cf1ed75c762ce27fd,,,
S0059,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,gpt4,3,neurips_2023/NeurIPS_2023_b9e472cd579c83e2f6aa3459f46aac28,,,
S0060,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,gpt4,8,neurips_2023/NeurIPS_2023_c1f0b856a35986348ab3414177266f75,,,
S0061,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt35turbo,gpt35turbo,2,neurips_2023/NeurIPS_2023_c518f504ad5894ccb264a9890f0f5544,,,
S0062,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,"gpt4, textembeddingada002",6,neurips_2023/NeurIPS_2023_c7f35864fef057d6fa315afa0275b3ad,,,
S0063,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,gpt4,2,neurips_2023/NeurIPS_2023_cd40d0d65bfebb894ccc9ea822b47fa8,,,
S0064,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt35turbo,gpt35turbo,4,neurips_2023/NeurIPS_2023_dd03f856fc7f2efeec8b1c796284561d,,,
S0065,2023,neurips,2023-neurips,172,34,0.19767441860465115,5.0588235294117645,gpt4,gpt4,1,neurips_2023/NeurIPS_2023_f26119b4ffe38c24d97e4c49d334b99e,,,
S0066,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,"gpt4, gpt40613",2,aaai_2024/AAAI_2024_27822,,,
S0067,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,dalle2,"dalle2, gpt4",6,aaai_2024/AAAI_2024_27986,,,
S0068,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,gpt4,2,aaai_2024/AAAI_2024_27999,,,
S0069,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,gpt4,2,aaai_2024/AAAI_2024_28097,,,
S0070,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,gpt4,1,aaai_2024/AAAI_2024_28550,,,
S0071,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,gpt4,3,aaai_2024/AAAI_2024_28567,,,
S0072,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,gpt4,1,aaai_2024/AAAI_2024_28715,,,
S0073,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,gpt4,1,aaai_2024/AAAI_2024_29269,,,
S0074,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,gpt4,3,aaai_2024/AAAI_2024_29421,,,
S0075,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,gpt4,1,aaai_2024/AAAI_2024_29720,,,
S0076,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,dalle2,"dalle2, gpt4",2,aaai_2024/AAAI_2024_29741,,,
S0077,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt35turbo,"gpt35turbo, gpt4",25,aaai_2024/AAAI_2024_29751,,,
S0078,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,gpt4,1,aaai_2024/AAAI_2024_29763,,,
S0079,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,gpt4,26,aaai_2024/AAAI_2024_29767,,,
S0080,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,gpt4,31,aaai_2024/AAAI_2024_29768,,,
S0081,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,gpt4,1,aaai_2024/AAAI_2024_29796,,,
S0082,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,gpt4,6,aaai_2024/AAAI_2024_29844,,,
S0083,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,codedavinci002,"codedavinci002, gpt35turbo",4,aaai_2024/AAAI_2024_29848,,,
S0084,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt35turbo,"textdavinci001, gpt35turbo",2,aaai_2024/AAAI_2024_29863,,,
S0085,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,codedavinci002,"codedavinci002, gpt35turbo",8,aaai_2024/AAAI_2024_29879,,,
S0086,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,gpt4,1,aaai_2024/AAAI_2024_29902,,,
S0087,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt35turbo,gpt35turbo,1,aaai_2024/AAAI_2024_29912,,,
S0088,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,textdavinci002,"textdavinci002, gpt35turbo",3,aaai_2024/AAAI_2024_29928,,,
S0089,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt35turbo,gpt35turbo,5,aaai_2024/AAAI_2024_30214,,,
S0090,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,"gpt35turbo, gpt4",16,aaai_2024/AAAI_2024_30218,,,
S0091,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,textembeddingada002,textembeddingada002,1,aaai_2024/AAAI_2024_30307,,,
S0092,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,gpt4,1,aaai_2024/AAAI_2024_30348,,,
S0093,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,"gpt35turbo0301, gpt4, gpt40613",28,aaai_2024/AAAI_2024_30363,,,
S0094,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,gpt4,7,aaai_2024/AAAI_2024_30364,,,
S0095,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt35turbo0613,gpt35turbo0613,2,aaai_2024/AAAI_2024_30370,,,
S0096,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,gpt4,5,aaai_2024/AAAI_2024_30371,,,
S0097,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt4,gpt4,2,aaai_2024/AAAI_2024_30540,,,
S0098,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt35turbo,"gpt35turbo, gpt4",2,aaai_2024/AAAI_2024_30570,,,
S0099,2024,aaai,2024-aaai,173,34,0.19653179190751446,5.088235294117647,gpt35turbo,gpt35turbo,1,aaai_2024/AAAI_2024_30589,,,
S0100,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,textdavinci001,"textdavinci001, textdavinci002, gpt35turbo, gpt4",59,iclr_2024/ICLR2024_oral,,,
S0101,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo,"gpt35turbo, gpt4, gpt40613",62,iclr_2024/ICLR2024_oral,,,
S0102,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,"gpt35turbo0613, gpt35turbo, gpt4, gpt40613",20,iclr_2024/ICLR2024_oral,,,
S0103,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo,"gpt35turbo, gpt4",8,iclr_2024/ICLR2024_oral,,,
S0104,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo,"gpt35turbo0613, gpt35turbo, gpt4",119,iclr_2024/ICLR2024_oral,,,
S0105,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,11,iclr_2024/ICLR2024_poster,,,
S0106,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,23,iclr_2024/ICLR2024_poster,,,
S0107,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,2,iclr_2024/ICLR2024_poster,,,
S0108,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,davinci002,davinci002,1,iclr_2024/ICLR2024_poster,,,
S0109,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,1,iclr_2024/ICLR2024_poster,,,
S0110,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,10,iclr_2024/ICLR2024_poster,,,
S0111,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo0613,gpt35turbo0613,1,iclr_2024/ICLR2024_poster,,,
S0112,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo,"gpt35turbo, gpt4",19,iclr_2024/ICLR2024_poster,,,
S0113,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,16,iclr_2024/ICLR2024_poster,,,
S0114,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt40613,"gpt4, gpt40613",41,iclr_2024/ICLR2024_poster,,,
S0115,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo,"gpt35turbo, gpt4",35,iclr_2024/ICLR2024_poster,,,
S0116,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,6,iclr_2024/ICLR2024_poster,,,
S0117,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,dalle2,dalle2,1,iclr_2024/ICLR2024_poster,,,
S0118,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,1,iclr_2024/ICLR2024_poster,,,
S0119,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,55,iclr_2024/ICLR2024_poster,,,
S0120,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo,gpt35turbo,1,iclr_2024/ICLR2024_poster,,,
S0121,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,1,iclr_2024/ICLR2024_poster,,,
S0122,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo0613,gpt35turbo0613,1,iclr_2024/ICLR2024_poster,,,
S0123,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,codedavinci002,"gpt35turboinstruct, codedavinci002, gpt35turbo, gpt4",9,iclr_2024/ICLR2024_poster,,,
S0124,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,2,iclr_2024/ICLR2024_poster,,,
S0125,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,dalle2,"dalle2, dalle3",9,iclr_2024/ICLR2024_poster,,,
S0126,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo,gpt35turbo,1,iclr_2024/ICLR2024_poster,,,
S0127,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt40314,"gpt40314, gpt4, gpt40613",19,iclr_2024/ICLR2024_poster,,,
S0128,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,12,iclr_2024/ICLR2024_poster,,,
S0129,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,13,iclr_2024/ICLR2024_poster,,,
S0130,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,codecushman001,"codedavinci002, codecushman001, gpt35turbo, gpt4",18,iclr_2024/ICLR2024_poster,,,
S0131,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,1,iclr_2024/ICLR2024_poster,,,
S0132,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,9,iclr_2024/ICLR2024_poster,,,
S0133,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,37,iclr_2024/ICLR2024_poster,,,
S0134,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,1,iclr_2024/ICLR2024_poster,,,
S0135,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,2,iclr_2024/ICLR2024_poster,,,
S0136,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,1,iclr_2024/ICLR2024_poster,,,
S0137,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo0301,gpt35turbo0301,3,iclr_2024/ICLR2024_poster,,,
S0138,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo,"gpt35turbo, gpt4",6,iclr_2024/ICLR2024_poster,,,
S0139,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo0613,"gpt35turbo0613, gpt35turbo, gpt4",9,iclr_2024/ICLR2024_poster,,,
S0140,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,"gpt35turbo, gpt4",3,iclr_2024/ICLR2024_poster,,,
S0141,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,1,iclr_2024/ICLR2024_poster,,,
S0142,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,"codedavinci002, gpt4",5,iclr_2024/ICLR2024_poster,,,
S0143,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,"gpt35turbo, gpt4",17,iclr_2024/ICLR2024_poster,,,
S0144,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,1,iclr_2024/ICLR2024_poster,,,
S0145,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,15,iclr_2024/ICLR2024_poster,,,
S0146,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,3,iclr_2024/ICLR2024_poster,,,
S0147,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo,gpt35turbo,1,iclr_2024/ICLR2024_poster,,,
S0148,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,8,iclr_2024/ICLR2024_poster,,,
S0149,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,8,iclr_2024/ICLR2024_poster,,,
S0150,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo0301,gpt35turbo0301,2,iclr_2024/ICLR2024_poster,,,
S0151,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,38,iclr_2024/ICLR2024_poster,,,
S0152,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,30,iclr_2024/ICLR2024_poster,,,
S0153,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,4,iclr_2024/ICLR2024_poster,,,
S0154,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt40613,"gpt35turbo0613, gpt4, gpt40613",43,iclr_2024/ICLR2024_poster,,,
S0155,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,textdavinci002,"textdavinci002, codedavinci002, gpt4",30,iclr_2024/ICLR2024_poster,,,
S0156,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo,"gpt35turbo1106, gpt35turbo",3,iclr_2024/ICLR2024_poster,,,
S0157,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,1,iclr_2024/ICLR2024_poster,,,
S0158,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,1,iclr_2024/ICLR2024_poster,,,
S0159,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turboinstruct,gpt35turboinstruct,1,iclr_2024/ICLR2024_poster,,,
S0160,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo0613,"gpt35turbo0613, gpt4, gpt40613",72,iclr_2024/ICLR2024_spotlight,,,
S0161,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,11,iclr_2024/ICLR2024_spotlight,,,
S0162,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,"gpt4, textembeddingada002",10,iclr_2024/ICLR2024_spotlight,,,
S0163,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo,"textdavinci002, gpt35turbo, gpt4",19,iclr_2024/ICLR2024_spotlight,,,
S0164,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo,"textmoderationlatest, gpt35turbo, gpt4",64,iclr_2024/ICLR2024_spotlight,,,
S0165,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,dalle2,dalle2,1,iclr_2024/ICLR2024_spotlight,,,
S0166,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt35turbo,gpt35turbo,1,iclr_2024/ICLR2024_spotlight,,,
S0167,2024,iclr,2024-iclr,370,75,0.20270270270270271,4.933333333333334,gpt4,gpt4,1,iclr_2024/ICLR2024_spotlight,,,
