Pair_ID,Year,Venue,Deprecated_Keyword,Sections_Hit,Window_Count,Label,Reasoning
D0027,2023,iclr,codedavinci002,1 INTRODUCTION | 5.1 MEMORIZATION VS UPDATING,9,Methods and Evaluation,'ault we use the codedavinci002 model also known...' uses codedavinci002 with comparison nearby (1 INTRODUCTION)
D0028,2023,iclr,codedavinci002,A EMPIRICAL EVALUATION | Note,3,Evaluation,code-davinci-002 evaluated on APPS with PG-TD comparison.
D0029,2023,iclr,codedavinci002,4.3 EXPERIMENTAL SETUP | 5.3 MEMORIZATION,2,Methods,"'odex code-davinci002 model (Chen et al., 2021) through the OpenAI...' direct API call to code-davinci002 (4.3 EXPERIMENTAL SETUP)"
D0030,2023,iclr,codedavinci002,ABSTRACT | 3.1 SYMBOLIC MANIPULATION | 3.2 COMPOSITIONAL GENERALIZATION | The answer is: 12. | Table of Contents,9,Methods and Evaluation,'most prompting is capable of generalizing to more...' uses codedavinci002 with comparison nearby (ABSTRACT)
D0031,2023,iclr,codedavinci002,3.2 GENERATOR INSTANTIATION | search for a package in your current sources | H EXPERIMENTS WITH code-davinci-002,3,Methods,'t of codedavinci002 see more details in appendix h training...' prompts codedavinci002 as method (3.2 GENERATOR INSTANTIATION)
D0032,2023,iclr,codedavinci002,4.4 OPEN-DOMAIN QUESTION ANSWERING,1,Methods,'pp a we use the codex codedavinci002 model here since...' pipeline use of codedavinci002 (4.4 OPEN-DOMAIN QUESTION ANSWERING)
D0033,2023,iclr,codedavinci002,5.2 EXPERIMENTAL DESIGN CHOICES | D.3.2 GENERATION HYPERPARAMETERS,2,Methods,'we use codedavinci002 for all experiments' - methods declaration
D0034,2023,iclr,codedavinci002,C.4 COMPARISON TO OPENAI'S CODE API,7,Methods,'TO OPENAI'S CODE API we evaluate openais proprietary codedavinci002 system accessed through...' method-section reference to codedavinci002 (C.4 COMPARISON TO OPENAI'S...
D0035,2023,iclr,codedavinci002,2.2 MODELS | 4.1 BENCHMARK CONSTRUCTION | G ADDITIONAL BENCHMARK RESULTS,3,Evaluation,codedavinci002 in pass@k benchmark table compared against codegen - eval
D0036,2023,iclr,codedavinci002,ABSTRACT | 1 INTRODUCTION | 3 EXPERIMENTAL SETUP | 4.1 RESULTS ON HUMANEVAL AND MBPP,9,Methods and Evaluation,"'ons, we use code-davinci002 on the zero-shot APPS...' uses code-davinci002 with comparison nearby (ABSTRACT)"
D0037,2023,iclr,codedavinci002,3.1 EXPERIMENT SETUP | 7 REPRODUCIBILITY,2,Methods,'odex codedavinci002 api 2 model in our experiments as both...' generation via codedavinci002 (3.1 EXPERIMENT SETUP)
D0038,2023,iclr,codedavinci002,3 COMPLEXITY-BASED PROMPTING | 4.1 EXPERIMENTAL SETTINGS | 4.2 MAIN RESULTS,8,Methods,'ghts prompting framework and compare all prompting schemes using gpt3...' prompts codedavinci002 as method (3 COMPLEXITY-BASED PROMPTING)
D0039,2023,iclr,textada001,5.2 LLMS FOR SELECTION,1,Methods,'ss all eight models 5 we use ada babbage curie davinci textada001...' method-section reference to textada001 (5.2 LLMS FOR SELECTION)
D0040,2023,iclr,textada001,2 RELATED WORK | 5.1 EXPERIMENTAL SETUP,2,Methods,'i002 but note that in our experiments we also evaluate textada001 textbabbage001...' method-section reference to textada001 (2 RELATED WORK)
D0041,2023,iclr,textbabbage001,5.2 LLMS FOR SELECTION,1,Methods,'we use ada babbage curie davinci textada001 textbabbage001' for selection
D0042,2023,iclr,textbabbage001,2 RELATED WORK | 5.1 EXPERIMENTAL SETUP,2,Methods,'te that in our experiments we also evaluate textada001 textbabbage001 textcurie001 davinci...' method-section reference to textbabbage001 (2 RELATED WORK)
D0043,2023,iclr,textcurie001,5.2 LLMS FOR SELECTION,1,Methods,'se ada babbage curie davinci textada001 textbabbage001 textcurie001 textdavanci002 figure 6 left...' method-section reference to textcurie001 (5.2 LLMS FOR SELECTION)
D0044,2023,iclr,textcurie001,5.1 MEMORIZATION VS UPDATING | B ADDITIONAL RESULTS: GENERALIZABILITY | C ADDITIONAL RESULTS: SOCIAL BIASES | E.2 TARGETED IN-CONTEXT KNOWLEDGE UPDATING,5,Methods,"'sed baseline (Table 8). Comparing Text-Davinci-001 and Text-Curie001 , the larger model...' method-section reference to text-curie001 (5.1 MEMORIZATION VS UPDATING)"
D0045,2023,iclr,textcurie001,4.1 EXPERIMENTAL SETUP,1,Methods,'odel generations 2 in the rest of the paper openais...' generation via textcurie001 (4.1 EXPERIMENTAL SETUP)
D0046,2023,iclr,textcurie001,C EFFECT OF SCALE ON COMMAQA,1,Methods,'MAQA we evaluate textcurie001 textdavinci001 and textdavinc' pipeline use of textcurie001 (C EFFECT OF SCALE ON)
D0047,2023,iclr,textcurie001,2 RELATED WORK | 5.1 EXPERIMENTAL SETUP,2,Methods,'experiments we also evaluate textada001 textbabbage001 textcurie001 davinci and textdavinci001 table 1...' method-section reference to textcurie001 (2 RELATED WORK)
D0048,2023,iclr,textdavinci001,C.6 USING OTHER LLMS,4,Methods,'The text-davinci001 is a fine-tuned version of GPT-3 and it...' shows fine-tuning of text-davinci001 (C.6 USING OTHER LLMS)
D0049,2023,iclr,textdavinci001,5.1 MEMORIZATION VS UPDATING | B ADDITIONAL RESULTS: GENERALIZABILITY | C ADDITIONAL RESULTS: SOCIAL BIASES | E.2 TARGETED IN-CONTEXT KNOWLEDGE UPDATING,5,Methods,'dels textdavinci001 175b 72 579 349 textcurie001 67b 148 400...' prompts textdavinci001 as method (5.1 MEMORIZATION VS UPDATING)
D0050,2023,iclr,textdavinci001,5.2 DOWNSTREAM TASKS,1,Methods,'ty 4 we use the textdavinci001 variant described in ouyang...' pipeline use of textdavinci001 (5.2 DOWNSTREAM TASKS)
D0051,2023,iclr,textdavinci001,B FURTHER DETAILS ON STYLE TRANSFER,2,Methods,'we used textdavinci001' in style transfer pipeline - methods component
D0052,2023,iclr,textdavinci001,8.2 ERROR ANALYSIS: LEAST-TO-MOST PROMPTING,2,Methods,'ng around and it sometimes interprets after as and for textdavinci001 which...' method-section reference to textdavinci001 (8.2 ERROR ANALYSIS: LEAST-TO-MOST...
D0053,2023,iclr,textdavinci001,C EFFECT OF SCALE ON COMMAQA,1,Methods,'MAQA we evaluate textcurie001 textdavinci001 and textdavinci002 on the com' pipeline use of textdavinci001 (C EFFECT OF SCALE ON)
D0054,2023,iclr,textdavinci001,2 RELATED WORK | 5.1 EXPERIMENTAL SETUP | 5.3 PROOF ANALYSIS RESULTS,3,Methods,'ate textada001 textbabbage001 textcurie001 davinci and textdavinci001 table 1 comparison of existing...' method-section reference to textdavinci001 (2 RELATED WORK)
D0055,2023,iclr,textdavinci002,4 EXPERIMENTS,1,Methods,'ward we use the textdavinci002 gpt3 model with temperature 0' pipeline use of textdavinci002 (4 EXPERIMENTS)
D0056,2023,iclr,textdavinci002,3.3 FEW-SHOT PROMPTING,1,Methods,'we use textdavinci002 175b' for few-shot prompting - methods
D0057,2023,iclr,textdavinci002,1 INTRODUCTION,1,N/A,text-davinci-002 mentioned as motivating example in introduction.
D0058,2023,iclr,textdavinci002,3.1 GENERATING COT DATA | 5.1 SETUP | B.2 IMPLEMENTATION DETAILS | C.6 USING OTHER LLMS,6,Methods and Evaluation,'eval we use gpt3 brown et al 2020...' uses textdavinci002 with comparison nearby (3.1 GENERATING COT DATA)
D0059,2023,iclr,textdavinci002,4.2 BIGBENCH | C.3 ZERO-SHOT CHAIN OF THOUGHT REASONING | D COST ANALYSIS,4,Methods,'the textdavinci002 via the openai api httpsbetaopenaicom though not' direct API call to textdavinci002 (4.2 BIGBENCH)
D0060,2023,iclr,textdavinci002,A.4 IMPLEMENTATION DETAILS,1,Methods,'gine we use textdavinci002 the most capable engine recom' pipeline use of textdavinci002 (A.4 IMPLEMENTATION DETAILS)
D0061,2023,iclr,textdavinci002,A.10 ADDITIONAL FIGURES,1,Methods,'full prompts we used for gpt3 as well as gpt...' prompts textdavinci002 as method (A.10 ADDITIONAL FIGURES)
D0062,2023,iclr,textdavinci002,C.3 ADDITIONAL DETAILS ON ZERO-SHOT MODELS,1,Methods,'the textdavinci002 variant and the following prompt context there is...' prompts textdavinci002 as method (C.3 ADDITIONAL DETAILS ON ZERO-SHOT)
D0063,2023,iclr,textdavinci002,4.2.1 RESULTS | 4.3.1 RESULTS | 4.4 FINETUNING A MODEL TO GENERALIZE WELL IN THE FACE OF AMBIGUITY | 4.4.1 RESULTS | A CAN MODELS VERBALIZE THE TASK THEY ARE PERFORMING? | B EXPLORING TASK AMBIGUITY FOR A NATURAL LANGUAGE COMMAND-LINE ASSISTANT,9,Evaluation,'humans are closely followed by the textdavinci003 and textdavinci002 hfdmodels see figure...' evaluation-section comparison of textdavinci002 (4.2.1 RESULTS)
D0064,2023,iclr,textdavinci002,A.1 GPT-3 EXPERIMENTS,2,Methods,'eact prompting results using palm540b vs gpt3 textdavinci002 greedy decoding...' prompts textdavinci002 as method (A.1 GPT-3 EXPERIMENTS)
D0065,2023,iclr,textdavinci002,3.2 COMPOSITIONAL GENERALIZATION | Table of Contents | 7.1 PROMPT CONTEXT FOR DECOMPOSING A WORD LIST INTO SUBPROBLEMS | 7.3 DATA GENERATION AND ADDITIONAL RESULTS,9,Evaluation,'ntly outperforms textdavinci002 regardless of the prompting m' comparison against textdavinci002 (3.2 COMPOSITIONAL GENERALIZATION)
D0066,2023,iclr,textdavinci002,3.3 DECOMP CAPABILITIES | 4 CASE STUDIES | C EFFECT OF SCALE ON COMMAQA,3,Methods,'shot prompting eg we found identifying the k th letter...' prompts textdavinci002 as method (3.3 DECOMP CAPABILITIES)
D0067,2023,iclr,textdavinci002,A.2 METRICS,1,Methods,'3 performance in kasai et al 2022 is reported over the textdavinci002...' method-section reference to textdavinci002 (A.2 METRICS)
D0068,2023,iclr,textdavinci002,3.1 MATHEMATICAL PROGRAM SYNTHESIS | 3.5 LEVERAGING EXPLICIT FEEDBACK | B.2 MATHEMATICAL PROGRAM SYNTHESIS,3,Methods,'rate finetuned instance of gptneo 13b and 2 fewshot prompted...' shows fine-tuning of textdavinci002 (3.1 MATHEMATICAL PROGRAM SYNTHESIS)
D0069,2023,iclr,textdavinci002,A PROMPTING THE LANGUAGE MODEL,1,Methods,'e we sample from the textdavinci002 model with temperature of...' generation via textdavinci002 (A PROMPTING THE LANGUAGE MODEL)
D0070,2023,iclr,textdavinci002,B.2 ENCODER-DECODER ARCHITECTURES,1,Methods,'cond prompt is then fed into gpt3 to predict the...' prompts textdavinci002 as method (B.2 ENCODER-DECODER ARCHITECTURES)
D0071,2023,iclr,textdavinci002,2 RELATED WORK | 5.1 EXPERIMENTAL SETUP | 5.3 PROOF ANALYSIS RESULTS | A.4 HOW WE EVALUATE THE CHAIN-OF-THOUGHT,5,Methods,'from finetuning gpt3 via reinforcement learning from human feedback throughout...' shows fine-tuning of textdavinci002 (2 RELATED WORK)
D0072,2023,iclr,textdavinci002,2 RELATED WORK,1,Methods,'task generated from 2shot gpt3 textdavinci002 brown et al 2020...' generation via textdavinci002 (2 RELATED WORK)
D0073,2023,iclr,textdavinci002,3 COMPLEXITY-BASED PROMPTING | 4.1 EXPERIMENTAL SETTINGS | 4.2 MAIN RESULTS,7,Methods,'ghts prompting framework and compare all prompting schemes using gpt3...' prompts textdavinci002 as method (3 COMPLEXITY-BASED PROMPTING)
D0074,2023,iclr,textdavinciedit001,B FURTHER DETAILS ON STYLE TRANSFER,2,Methods,'' is produced using the model textdavinciedit001 with the instruction...' generation via textdavinciedit001 (B FURTHER DETAILS ON STYLE)
D0075,2023,icml,codecushman001,5.2. Symbolic Reasoning &amp; Algorithmic Tasks Results | 6. Analysis,3,Methods,'nt models on gsm8k though the absolute accuracies with codecushman001 and codedavinci001...' method-section reference to codecushman001 (5.2. Symbolic Reasoning &amp...
D0076,2023,icml,codecushman001,4.1. Capabilities-Alignment Trade-offs,1,Methods,'ents we use gpt3 175b davinci as p gpt3 for...' pipeline use of codecushman001 (4.1. Capabilities-Alignment Trade-offs)
D0077,2023,icml,codecushman001,3.3. Results,7,Methods and Evaluation,'ditdistance 2662 relative improvement experiments with codecushman001 to investigate whether...' mixes pipeline use and comparison of codecushman001 (3.3. Results)
D0078,2023,icml,codedavinci001,5.2. Symbolic Reasoning &amp; Algorithmic Tasks Results | 6. Analysis,3,Methods,'though the absolute accuracies with codecushman001 and codedavinci001 are lower than codedavinci002...' method-section reference to codedavinci001 (5.2. Symbolic Reasoning &amp...
D0079,2023,icml,codedavinci001,3.2. Experimental Details | 3.3. Results,5,Methods,'ompt generation we used the openai codex completions api for...' generation via codedavinci001 (3.2. Experimental Details)
D0080,2023,icml,codedavinci002,5. Evaluating Code Language Models | B. Details of Studied Models,2,Methods,"'ls under these frameworks are GPT-4, ChatGPT, Copilot, code-davinci002, CodeParrot-110M and CodeParrot-1.5B...' method-section reference to code-davinci002 (5. Evaluating Code Language..."
D0081,2023,icml,codedavinci002,A.1. Prompting Details,1,Methods,'we use openais codex codedavinci002 to predict' - methods pipeline
D0082,2023,icml,codedavinci002,Abstract | 1. Introduction | 3.2. Code LLMs | 3.4. Implementation Details | 4.1. Effectiveness of LEVER. | B.5. Case Study,9,Methods,'stently improves over the base code llms46 to 109 with codedavinci002 and...' method-section reference to codedavinci002 (Abstract)
D0083,2023,icml,codedavinci002,Modified Problem | 3.1. Dataset Creation | 5. Experiments | 5.1. Main Results on GSM-IC,9,Methods,'odex codedavinci002 and gpt35 textdavinci003 in the gpt3 model family...' prompts codedavinci002 as method (Modified Problem)
D0084,2023,icml,codedavinci002,4. Experimental Setup | 5.2. Symbolic Reasoning &amp; Algorithmic Tasks Results | 6. Analysis,4,Methods and Evaluation,'wise we used codex codedavinci002 as our backend...' uses codedavinci002 with comparison nearby (4. Experimental Setup)
D0085,2023,icml,codedavinci002,1. Introduction | 2. Background | 3. Specializing Multi-Step Reasoning,9,Methods,teacher model codedavinci002 for distillation - methods
D0086,2023,icml,codedavinci002,4.7. Comparison with Selecting from Training Examples | 4.8. Effect of Language Models,7,Methods,'5 table 6 accuracies on seven reasoning datasets using codedavinci002 for both...' method-section reference to codedavinci002 (4.7. Comparison with Selecting...
D0087,2023,icml,codedavinci002,A.2. Adapting ATP to OpinionQA,1,Methods,'ised finetuning on humanwritten demonstrations textdavinci002 openai 175b humanfeedback model...' shows fine-tuning of codedavinci002 (A.2. Adapting ATP to OpinionQA)
D0088,2023,icml,textada001,3. Models and Datasets,1,Methods,'lms based on the transformer architecture we use the widelyused...' uses textada001 as backbone (3. Models and Datasets)
D0089,2023,icml,textbabbage001,3. Models and Datasets,1,Methods,'lms based on the transformer architecture we use the widelyused...' uses textbabbage001 as backbone (3. Models and Datasets)
D0090,2023,icml,textcurie001,3. Models and Datasets,1,Methods,'lms based on the transformer architecture we use the widelyused...' uses textcurie001 as backbone (3. Models and Datasets)
D0091,2023,icml,textdavinci001,5.2. Symbolic Reasoning &amp; Algorithmic Tasks Results | 6. Analysis | C. Effect of Using Language Models of Code,4,Methods,'l with nl lms on gsm8k though cot outperforms pal with textdavinci001...' method-section reference to textdavinci001 (5.2. Symbolic Reasoning &amp...
D0092,2023,icml,textdavinci001,3. Models and Datasets | E. Wisdom of Crowds TE,2,Methods,'used openai api to query the following gpt text models...' direct API call to textdavinci001 (3. Models and Datasets)
D0093,2023,icml,textdavinci001,A.2. Adapting ATP to OpinionQA,1,N/A,no extractable window in non-references body
D0094,2023,icml,textdavinci002,4.2. Housekeep,1,Methods,'r to generate captions of inview objects and receptacles and...' generation via textdavinci002 (4.2. Housekeep)
D0095,2023,icml,textdavinci002,F. Additional Example Class Descriptions,1,Methods,class descriptions sourced from textdavinci002 - methods component
D0096,2023,icml,textdavinci002,5.2. Symbolic Reasoning &amp; Algorithmic Tasks Results | 6. Analysis | C. Effect of Using Language Models of Code,3,Methods,'base lm is sufficiently strong pal is beneficial with textdavinci002 and textdavinci003...' method-section reference to textdavinci002 (5.2. Symbolic Reasoning &amp...
D0097,2023,icml,textdavinci002,4.1. Capabilities-Alignment Trade-offs | 4.2. Robustness to Red-Teaming | C. Details on the red-teaming procedure,3,Methods,'we use prompted instructgpt textdavinci002 to simulate adversary' - methods
D0098,2023,icml,textdavinci002,4.4. Further Design Choices Analysis,1,Evaluation,'mpirical observation on other large models for example textdavinci002 has better zeroshot...' evaluation-section comparison of textdavinci002 (4.4. Further Design Choices...
D0099,2023,icml,textdavinci002,3. Models and Datasets | E. Wisdom of Crowds TE,2,Methods,'used openai api to query the following gpt text models...' direct API call to textdavinci002 (3. Models and Datasets)
D0100,2023,icml,textdavinci002,4.2. Steerability | 4.3. Consistency | A.2. Adapting ATP to OpinionQA,5,Methods,'inion alignment of an lm disappear after steering with textdavinci002 showing the...' method-section reference to textdavinci002 (4.2. Steerability)
D0101,2023,neurips,codecushman001,4.2 Experiment Methodology and Results,2,Methods,'for details about these models both codedavinci002 and codecushman001 are variations of...' method-section reference to codecushman001 (4.2 Experiment Methodology and...
D0102,2023,neurips,codedavinci001,4.3.2 Language Modeling,2,Methods,'amely incoder13b and incoder67b fal 22 codex12b ctj 21 codedavinci001 and 002...' method-section reference to codedavinci001 (4.3.2 Language Modeling)
D0103,2023,neurips,codedavinci001,1 Introduction,1,Evaluation,'ur six domains we find that only the largest model the codedavinci001...' evaluation-section comparison of codedavinci001 (1 Introduction)
D0104,2023,neurips,codedavinci001,4.5 Analysis,8,Methods,'s we choose gpt35turbo 0613 version textdavinci003 and codedavinci001 gpt35turbo is optimized...' method-section reference to codedavinci001 (4.5 Analysis)
D0105,2023,neurips,codedavinci002,4.1 Main Results,1,Methods,'how serious 5 we queried the openai davinci codex api codedavinci002 to...' method-section reference to codedavinci002 (4.1 Main Results)
D0106,2023,neurips,codedavinci002,4.2.1 Code generation and infilling | 4.3.2 Language Modeling,2,Methods,'ee fim variants we trained on the same data as mim and...' method-section reference to codedavinci002 (4.2.1 Code generation and...
D0107,2023,neurips,codedavinci002,"4 The Number Game | 5 Logical Concepts | A.1 Supplemental Results | A.4.1 Proposing hypotheses | Python 3 # Here are a few example number concepts: # --The number is even # --The number is between 30 and 45 # --The number is a power of 3 # --The number is less than 10 # # Here are some random examples of numbers belonging to a different /rcurvearrowse number concept: # X 1 : K # Write a python function that returns true if 'num' belongs to /rcurvearrowse this number concept. def check_if_in_concept(num): return For logical concepts we used the following few-shot prompt for GPT-4 to generate candidate concepts: Here three simple concepts , which specify when an object is /rcurvearrowse 'positive ' relative to an example collection of other /rcurvearrowse objects. Before giving the rule for each concept , we give /rcurvearrowse examples of collections of objects , and which objects in the /rcurvearrowse collection are 'positive '. Concept #1: An Example of Concept #1: POSITIVES: (big yellow rectangle) NEGATIVES: (big green circle), (medium yellow rectangle) Another Example of Concept #1: POSITIVES: (medium yellow rectangle) NEGATIVES: (big red circle), (small green circle) Rule for Concept #1: Something is positive if it is the biggest /rcurvearrowse yellow object in the example. Concept #2: An Example of Concept #2: POSITIVES: (small yellow circle), (medium yellow rectangle) NEGATIVES: (big green circle), (big blue rectangle) Another Example of Concept #2: POSITIVES: (big blue circle), (medium blue rectangle) NEGATIVES: (small green circle), (medium yellow rectangle), Rule for Concept #2: Something is positive if there is another /rcurvearrowse object with the same color in the example. Concept #3: An Example of Concept #3: POSITIVES: (small yellow circle), (medium yellow rectangle) NEGATIVES: (big green circle), (big blue rectangle) Another Example of Concept #3: POSITIVES: (small blue circle), (small blue triangle), /rcurvearrowse (medium blue rectangle) NEGATIVES: (medium green triangle), (big yellow rectangle) Another Example of Concept #3: POSITIVES: (big red rectangle), (medium red rectangle), /rcurvearrowse (big red triangle) NEGATIVES: (medium green triangle), (big yellow rectangle) Rule for Concept #3: Something is positive if it is the same color /rcurvearrowse as the smallest triangle in the example. Now here are some examples of another concept called Concept #4, /rcurvearrowse but this time we don't know the rule. Infer ten different /rcurvearrowse possible rules , and make those ten rules as simple and /rcurvearrowse general as you can. Your simple general rules might talk ",7,Methods,"'for codedavinci-002, and generate at temperature=0 until linebr' generation via codedavinci-002 (4 The Number Game)"
D0108,2023,neurips,codedavinci002,5.3.3 Impact of Large Language Models,1,Methods,'ly that excels in textual tasks here we did not choose codedavinci002...' method-section reference to codedavinci002 (5.3.3 Impact of Large...
D0109,2023,neurips,codedavinci002,A Implementation Details,1,Methods,'ex 5 codedavinci002 an llm that is finetuned with largescale...' shows fine-tuning of codedavinci002 (A Implementation Details)
D0110,2023,neurips,codedavinci002,4.2 Experiment Methodology and Results,1,Methods,'fig 4 see table 1 for details about these models both codedavinci002...' method-section reference to codedavinci002 (4.2 Experiment Methodology and...
D0111,2023,neurips,codedavinci002,3 Experimental Settings | B Limitations | D Analysis | E.1 CODE-DAVINCI-002 Results,5,Methods,"'ngs, CODE-DAVINCI002 generates too many tokens before reach' generation via code-davinci002 (3 Experimental Settings)"
D0112,2023,neurips,codedavinci002,3.1 Setup,1,Methods,'cot prompting for closedsource llms we choose codex codedavinci002 chen...' prompts codedavinci002 as method (3.1 Setup)
D0113,2023,neurips,codedavinci002,4.1 Setup,9,Methods,'qa gsmsys gsm alge lsat board clutrr proof color regex codedavinci002 greedy...' method-section reference to codedavinci002 (4.1 Setup)
D0114,2023,neurips,codedavinci002,1 Introduction | 3.1 Instantiating SELF-REFINE,2,Evaluation,'te 13 when applied to strong code models such as codex codedavinci002...' evaluation-section comparison of codedavinci002 (1 Introduction)
D0115,2023,neurips,codedavinci002,3 Experiments,1,Methods,'h the blackbox llms including chatgpt gpt35turbo codex codedavinci002 and instructgpt textdavinci002' method-section reference to codedavinci002 (3 Experiments)
D0116,2023,neurips,codedavinci002,A.17 FAQs,1,Methods,'ised finetuning on human written demonstrations derived from codedavinci002 gpt35davinciv3...' shows fine-tuning of codedavinci002 (A.17 FAQs)
D0117,2023,neurips,gpt35turbo0301,4.1 Experimental details,1,Methods,'tgpt gpt35turbo0301 davinci001 textdavinci001 llama 7b 72 and alpaca 7b...' shows fine-tuning of gpt35turbo0301 (4.1 Experimental details)
